"","corr","p"
"ZNF226",0.00880514387073566,0.404163945979938
"L3MBTL1",0.00880489912280848,0.404177010833755
"LINC01513",0.00880356344138445,0.404248315103517
"RFPL4B",0.00879688935730621,0.404604718407764
"ABHD1",0.00879593595565236,0.404655646421167
"PBLD",0.00879380520370293,0.404769479005314
"AC096589.1",0.00879097170206877,0.404920884710976
"GJD4",0.00878675923143693,0.405146037000462
"AC020663.2",0.00878675923143693,0.405146037000462
"DBN1",0.00878600867858148,0.405186161142439
"AC007655.2",0.00878566859889204,0.40520434239697
"FGFR3",0.00878505638595733,0.40523707359919
"TRO",0.00878443728042923,0.40527017491205
"AC022469.1",0.00878348389468637,0.405321152127603
"AL139823.1",0.00878288994335028,0.405352912443061
"AC024075.3",0.00878242930964474,0.405377544898598
"AC125494.2",0.00877955226088243,0.405531415743615
"AC007923.4",0.00877437569643021,0.405808357554697
"AL390208.1",0.00877365429270091,0.405846961007714
"AC106028.4",0.00877295428098243,0.405884421836757
"ELMSAN1",0.00877254312710724,0.405906425523822
"AP000757.1",0.00876690020690886,0.406208489173219
"AL137856.1",0.00876677975851765,0.406214938197996
"LINC02163",0.00876635971041202,0.406237428811715
"GRM5",0.00876635971041202,0.406237428811715
"AC092343.1",0.00876377198458009,0.406375999673857
"FUNDC2",0.00876300188707183,0.406417243289208
"COL1A2",0.00876172077420728,0.406485860558554
"ARHGAP26-AS1",0.00876128697627339,0.40650909663524
"AL049552.1",0.00875716833919994,0.406729747973965
"HECA",0.0087562607693103,0.406778379613153
"AP002884.3",0.00875505466863067,0.406843013230063
"AC084757.2",0.00875326329519858,0.406939022279261
"AC009163.4",0.00874958670568511,0.407136112217926
"AC005363.2",0.00874329938130314,0.407473286982393
"AC108463.3",0.00874217970487625,0.407533350112359
"PEX7",0.00874169098447927,0.407559568337765
"TCFL5",0.00874039711682657,0.407628984891841
"MROH8",0.0087386367729856,0.407723439407167
"AC073257.2",0.00873638894036787,0.407844069995576
"C8orf34",0.00873341286142466,0.40800381484461
"SFTA1P",0.00873281721243869,0.408035791542812
"AC020978.6",0.00873131212156735,0.408116597184591
"AP4S1",0.00873123246389454,0.408120874128392
"NPIPA3",0.00873034151634178,0.40816871230123
"GJA5",0.008727874929245,0.40830116963888
"MAB21L2",0.00872600948070036,0.40840136244176
"LINC02340",0.00872560555488508,0.408423059130353
"SLC14A2",0.00872499145169843,0.40845604671424
"CDH9",0.00872408724184493,0.408504620752263
"GKN2",0.00871989107866575,0.40873008311184
"F11-AS1",0.00871989107866575,0.40873008311184
"HPN",0.00871947925117972,0.408752214839815
