"gene","cor","pval","FDR"
"SAR1B",0.0402808790126487,9.19101945827729e-05,0.000250338197187632
"TSR3",0.0402630086678101,9.25733320055715e-05,0.000251943809698536
"IVNS1ABP",0.0402603951398297,9.26706933515684e-05,0.000252008300441745
"NAPA",0.0402463910416355,9.31940351000225e-05,0.000253174494217465
"SH2D1A",0.0402449632698606,9.32475482940679e-05,0.000253174494217465
"THEMIS",0.0402222607961086,9.41023502435771e-05,0.000255090443885323
"SETX",0.0401949004310905,9.51423647793148e-05,0.000257705486864637
"AP1S2",0.040141781221701,9.71925797404527e-05,0.000263050486781716
"CLPP",0.0401208556160367,9.80116283759793e-05,0.000265057534129822
"RPL36AL",0.0400884919721517,9.92912150434819e-05,0.000268305882040878
"IGFBP7",0.0400398385338855,0.000101244570060376,0.000273368330052522
"MRPL28",0.0399687722794401,0.000104163039438056,0.000281026622963398
"IAH1",0.0399539965412377,0.000104779719201683,0.000282467627572071
"ARHGAP30",0.039929578852478,0.000105806371480195,0.000285010706168304
"ACTR10",0.0398770673547017,0.000108046481407064,0.000290815903142065
"SMS",0.0398490589653556,0.000109259524947107,0.000293849712927714
"CLU",0.0398103194580182,0.000110958519381477,0.000298184677772218
"H2AFJ",0.0397726235342124,0.000112635642815799,0.000302454108377432
"NUDT1",0.0397465277046313,0.00011381064133905,0.000305369571781091
"PTH1R",0.0397390630035697,0.000114148869500995,0.00030603705530008
"PDCD6",0.0397116266884734,0.000115400180652772,0.000309149583408876
"NUDT16L1",0.0396589466730232,0.000117839148121497,0.00031543640510457
"SDF2",0.0396011161829977,0.000120572497993641,0.000322500794086198
"HMOX2",0.0395557336752101,0.000122759235231827,0.000328093237287563
"RNF149",0.0395488670974464,0.000123093336463053,0.000328729355222563
"ATP2B1",0.0395131466172101,0.000124845227765358,0.000333147834777918
"RPL22L1",0.0395051456468418,0.000125240839240059,0.000333943032767142
"TUT7",0.0394926827227447,0.000125859428294872,0.000335331078034857
"HEBP2",0.0394864029806395,0.000126172209044923,0.00033590282267913
"AUP1",0.0394711841065711,0.000126933270765483,0.000337666189182518
"KPNA4",0.0394640110557442,0.000127293477046287,0.000338361293687138
"ZNHIT1",0.0394595402097693,0.000127518474830028,0.000338696197510501
"MRPL47",0.0394501638636221,0.000127991562333874,0.00033968901066267
"EIF4E2",0.0394434876408179,0.000128329421507593,0.0003403216674244
"FBXO7",0.0394298593479901,0.000129021709876176,0.000341892540268317
"MORF4L2",0.0394142861376901,0.000129817103744636,0.000343733987546749
"STX10",0.0393428707270476,0.000133524145951793,0.000353003171020929
"MAPRE1",0.0392054440779857,0.000140939992240235,0.000372033729516855
"HINT2",0.0391860321159541,0.000142018244529189,0.000374302322445574
"PPP2R5A",0.0391461855964468,0.000144255933551205,0.000379907273809602
"REL",0.0390509185597457,0.000149741212878628,0.000393444461795535
"DCXR",0.0390086776015662,0.000152235666445304,0.000399385134132964
"ARL14EP",0.0389938993530713,0.000153117562858881,0.000401390944475272
"AL627171.2",0.0389820378633161,0.000153828876870738,0.000402946851282386
"PDAP1",0.0389501994962812,0.000155753579250766,0.000407676353953229
"PEX2",0.0389217417154575,0.000157493076558456,0.000411914231579876
"ERLEC1",0.0389057834809815,0.000158476515525387,0.000413944181959572
"CPNE3",0.0389052220611632,0.000158511218464496,0.000413944181959572
"AATF",0.0388436932756696,0.000162358120811305,0.000423666766815769
"PCNX1",0.0388412767503143,0.000162510984731301,0.000423742438083675
"AP3S1",0.038826533987269,0.000163446515295312,0.00042585721921193
"APOE",0.0387407141830215,0.000168993744860763,0.000439975343355153
"GABARAPL2",0.038707420093309,0.000171193104612192,0.000445362441732554
"SLU7",0.0387049327180637,0.000171358493089831,0.000445453955061027
"GNB1",0.0386852437248496,0.000172672949284129,0.000448527755181986
"RAB11A",0.0386833011286679,0.000172803151514136,0.000448527755181986
"PSMC5",0.0386593887641099,0.000174413455504248,0.000452364239029593
"TMEM87A",0.0386556551626986,0.000174666153242468,0.000452676447153397
"MOB2",0.0386460309244773,0.000175319129632475,0.000454024786126191
