"","corr","p"
"SLC24A4",-0.371372902130834,1.25218375319548e-291
"TRAF3IP3",-0.372158066543267,5.97562723071198e-293
"RGS18",-0.374670504534137,3.33909124761287e-297
"S100A8",-0.374724136955523,2.70665424132409e-297
"STK17B",-0.374929581336123,1.21042857778059e-297
"PSME2",-0.37534883438908,2.33848682477548e-298
"RGS19",-0.375476434160448,1.41715542063427e-298
"VASP",-0.376292256184289,5.73294829939395e-300
"NR4A1",-0.377190211993469,1.66129893702592e-301
"GIMAP4",-0.380611166929604,2.07296294916742e-307
"WSB1",-0.382871641560956,2.37874724969285e-311
"CEBPB",-0.383704843913118,8.2431468252816e-313
"MPEG1",-0.383749049686903,6.89445075001839e-313
"C11orf21",-0.386458406874737,1.14774809175313e-317
"LFNG",-0.388337809780535,5.22721453300039e-321
"STX11",-0.39110203022921,0
"PTP4A2",-0.393292781883064,0
"IER5",-0.39341398373238,0
"BIN2",-0.394431809052679,0
"CFD",-0.395357089674325,0
"CTSS",-0.397203450715968,0
"PLAGL2",-0.398747216258043,0
"IKZF1",-0.401676209356792,0
"MTSS1",-0.40777587015634,0
"FCER1G",-0.408016205170473,0
"JUNB",-0.410138069806345,0
"SCIMP",-0.413713364184759,0
"P2RY13",-0.414515008439294,0
"TESC",-0.415134387762201,0
"SIGLEC10",-0.418330440391573,0
"NAAA",-0.419159402139042,0
"ABI3",-0.419620968325318,0
"ITGAL",-0.420345842831774,0
"ITGA4",-0.423427823918839,0
"RPS19",-0.424214865416701,0
"VAMP5",-0.424797556060929,0
"H3F3A",-0.434936615704674,0
"UTRN",-0.435492978099635,0
"CD52",-0.439192011321496,0
"CD300E",-0.442490021630336,0
"SLC2A6",-0.442712662383814,0
"LTB",-0.44552005923916,0
"RASGRP2",-0.445763636373209,0
"LYN",-0.447659527498597,0
"LILRB1",-0.448267050208015,0
"RAC2",-0.45120190146278,0
"GIMAP7",-0.451952043930672,0
"FCGR3A",-0.452681680270852,0
"NFKBIZ",-0.452830508869589,0
"LILRA1",-0.457023962246936,0
"CALHM6",-0.462534542889582,0
"PTPN6",-0.464055593093074,0
"VSIR",-0.465110505273733,0
"LRRC25",-0.465651228281421,0
"C19orf38",-0.469276012807514,0
"IRF1",-0.471098723533621,0
"GCH1",-0.472619112545318,0
