"gene","beta","stderr","t","p","celltype","padj","label_color","leadingEdgeIn"
"CPEB4",-0.0794922777238405,0.0595967688750691,-1.33383536094847,0.184683047194388,"Myeloid",1,"grey",""
"HIGD2A",-0.21248158784331,0.0502644976184408,-4.22726970149515,4.52695943208673e-05,"Myeloid",0.201676042699464,"grey",""
"CLTB",-0.183392768167132,0.0529371793846465,-3.46434718092143,0.000728710146932392,"Myeloid",1,"grey",""
"RNF44",-0.37794963600909,0.0536472911783299,-7.04508331562801,1.10031156848971e-10,"Myeloid",4.90188803762167e-07,"grey",""
"NSD1",-0.195508681596723,0.0526824822959646,-3.71107573288549,0.00030930368286689,"Myeloid",1,"grey",""
"PRELID1",-0.326220510181099,0.0401960620403291,-8.11573307489173,3.88015796975594e-13,"Myeloid",1.72861037552627e-09,"grey",""
"LMAN2",-0.0483036249165756,0.0477264630200104,-1.0120931210914,0.313448608513191,"Myeloid",1,"grey",""
"PDLIM7",-0.0572745381494555,0.0576050293500471,-0.994262806488938,0.322015726790802,"Myeloid",1,"grey",""
"DOK3",-0.157474198015202,0.0538309287575674,-2.92534796723277,0.00408737585246317,"Myeloid",1,"grey",""
"DDX41",-0.150003751254447,0.0507063904044413,-2.95828099886416,0.00370078681365273,"Myeloid",1,"grey",""
"TMED9",0.0735654080312718,0.0472070024788818,1.55835795895284,0.121676698544534,"Myeloid",1,"grey",""
"NHP2",-0.0840558899654509,0.0502948010836843,-1.671263990598,0.0971712922809564,"Myeloid",1,"grey",""
"HNRNPAB",-0.179327019986411,0.0512292594535868,-3.50048042659839,0.000644426216943212,"Myeloid",1,"grey",""
"PHYKPL",-0.30502093875792,0.0549661365319938,-5.54925192132392,1.63737768939979e-07,"Myeloid",0.000729451760627606,"grey",""
"CLK4",-0.273851202711908,0.0525350682363853,-5.21273145548598,7.46522897846746e-07,"Myeloid",0.00332575950990726,"grey",""
"RUFY1",-0.0717056900700759,0.0545048310177605,-1.31558411852906,0.190721548881795,"Myeloid",1,"grey",""
"HNRNPH1",-0.177150039383795,0.0433667802074974,-4.084924878817,7.82083449264706e-05,"Myeloid",0.348418176647427,"grey",""
"CANX",0.170311475335369,0.0315640124572672,5.39574857809806,3.29296914202847e-07,"Myeloid",0.00146701775277368,"grey",""
"MGAT4B",0.0100707638483181,0.0526693717519929,0.191207214237125,0.848673478811421,"Myeloid",1,"grey",""
"SQSTM1",0.195798257691167,0.0347177959236474,5.63970875690881,1.07932282096362e-07,"Myeloid",0.000480838316739291,"grey",""
"TBC1D9B",0.00507264629940529,0.0590808923603807,0.0858593378797198,0.93171561011001,"Myeloid",1,"grey",""
"RNF130",0.0559242712106638,0.0430386943405079,1.29939516213502,0.196199777141807,"Myeloid",1,"grey",""
"MGAT1",0.127302905498584,0.0391072898686442,3.25522187618156,0.00145806340327934,"Myeloid",1,"grey",""
"HEIH",-0.220889438024875,0.0522820804354344,-4.22495501680851,4.56784027305621e-05,"Myeloid",0.203497284164654,"grey",""
"RACK1",-0.0776306490201784,0.0131927521406793,-5.88434074955501,3.43460562836114e-08,"Myeloid",0.000153011680743489,"grey",""
"DUSP22",-0.396438921814886,0.0558312599859486,-7.10066227978125,8.26560733865498e-11,"Myeloid",3.68232806937079e-07,"grey",""
"SERPINB1",-0.150819528712301,0.0404123092600105,-3.73201956220657,0.000287061939403424,"Myeloid",1,"grey",""
"SERPINB6",-0.0595770181360269,0.0532962493879017,-1.11784635542386,0.265776434052081,"Myeloid",1,"grey",""
"NQO2",-0.0316082313915626,0.0494332940207385,-0.639411797609565,0.523725151064373,"Myeloid",1,"grey",""
"PSMG4",-0.25991447829802,0.0520850968723267,-4.99018901577803,1.97499674074667e-06,"Myeloid",0.00879861048002641,"grey",""
"PRPF4B",-0.169966647303196,0.0497369439056369,-3.41731184018189,0.00085399920921996,"Myeloid",1,"grey",""
"ECI2",-0.130425458880764,0.0451989058535976,-2.88558885259791,0.00460337911084756,"Myeloid",1,"grey",""
"CDYL",-0.133204043881862,0.0562471721288702,-2.36819094792308,0.0194084313475536,"Myeloid",1,"grey",""
"LY86",-0.141357966285281,0.0555785612501305,-2.54339016890166,0.0121974600368207,"Myeloid",1,"grey",""
"RREB1",-0.212974945040675,0.0613649939172454,-3.470626027078,0.000713356639199083,"Myeloid",1,"grey",""
"SSR1",-0.193247633826508,0.0561295792226782,-3.44288406403072,0.000783571686377493,"Myeloid",1,"grey",""
"EEF1E1",-0.243628799931314,0.0554667905635509,-4.39233634136768,2.36466400811167e-05,"Myeloid",0.105345781561375,"grey",""
"PAK1IP1",-0.167428143740757,0.0593458195679979,-2.82122894181146,0.00556646246239041,"Myeloid",1,"grey",""
"TMEM14C",-0.0650730880802934,0.0526456142630012,-1.23605905242569,0.218754320187276,"Myeloid",1,"grey",""
"TMEM14B",-0.176147234329589,0.0541492024093201,-3.25299776344021,0.00146861631862311,"Myeloid",1,"grey",""
"PHACTR1",-0.399922603078493,0.0584304098948051,-6.84442576731007,3.06753389343823e-10,"Myeloid",1.36658634952673e-06,"grey",""
"NOL7",-0.0378983165796681,0.0407044109944835,-0.931061662698036,0.353616388861821,"Myeloid",1,"grey",""
"MCUR1",-0.107498914910564,0.0525535036721368,-2.04551376024733,0.0429025175434554,"Myeloid",1,"grey",""
"CD83",-0.0112812911588062,0.0478576811441804,-0.2357258205808,0.814031212683974,"Myeloid",1,"grey",""
"JARID2",-0.119542505017122,0.0522091742409498,-2.28968388707746,0.0237163122927191,"Myeloid",1,"grey",""
"DTNBP1",-0.180438708559566,0.0555827661197036,-3.24630674498947,0.00150079472999534,"Myeloid",1,"grey",""
"ATXN1",-0.0412668083761144,0.0586457940940794,-0.703661856976722,0.482952059198908,"Myeloid",1,"grey",""
"TPMT",-0.201760662211521,0.0589693401398067,-3.42145022707019,0.000842212631969069,"Myeloid",1,"grey",""
"DEK",-0.166376030085897,0.038643817367265,-4.30537253876044,3.33611545662812e-05,"Myeloid",0.148623943592783,"grey",""
